<<<<<<< HEAD
"1","Bob","Male","American","Good student"
"2","Tan","Male","Vietnamese","Good student"
"3","Kevin","Male","American","Good student"
"7","Tony","Male","American","Good student"
"11","Lauren","Female","American","Good student"
"17","FreddyTheTelescopeMan","Male","Italian","Good man"
=======
0,Forrest,Male,American,Good teacher
1,Bob,Male,American,Good student
2,Tan,Male,Vietnamese,Good student
3,Kevin,Male,American,Good student
7,Tony,Male,American,Good student
11,Lauren,Female,American,Good student
17,FreddyTheTelescopeMan,Male,Italian,Good man
>>>>>>> e65f760c3b273ef73a67ff285ca0257f437dd5ce
